,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
0,Players,1631100,AJ Griffin,AJ,18,8,10,0.444,7.4,0.7,2.5,0.289,0.5,1.8,0.273,0.1,0.1,1.0,0.1,0.7,0.8,0.2,0.3,0.1,0.1,0.1,0.3,0.1,2.1,-1.6,3.3,0,0,3.8,12,11,11,8,13,13,11,13,9,9,12,15,15,1,15,14,15,15,13,15,13,13,16,16,14,6,14,8,1,14
1,Players,203992,Bogdan Bogdanovic,Bogdan,46,20,26,0.435,28.6,6.1,14.0,0.435,3.2,8.4,0.375,1.9,2.1,0.906,0.5,2.6,3.1,2.6,1.2,1.3,0.2,0.6,2.3,1.5,17.3,1.7,28.4,0,0,29.2,4,2,4,11,6,4,3,8,2,2,7,6,7,3,8,7,7,4,5,3,7,6,5,8,3,1,5,8,1,4
2,Players,1628981,Bruno Fernando,Bruno,13,7,6,0.538,6.5,1.1,2.1,0.519,0.0,0.2,0.0,0.8,1.5,0.526,0.5,1.5,2.0,0.3,0.5,0.2,0.4,0.2,0.9,0.9,2.9,1.3,6.9,0,0,6.3,14,13,15,3,14,11,14,4,15,16,15,9,9,13,7,9,9,14,9,14,4,10,12,9,11,2,10,8,1,12
3,Players,203991,Clint Capela,Clint,46,20,26,0.435,25.7,4.8,8.3,0.57,0.0,0.0,0.0,1.8,2.8,0.651,4.8,5.7,10.5,1.0,0.8,0.6,1.6,1.0,2.5,2.3,11.3,-2.3,30.9,22,0,27.1,4,2,4,11,7,6,7,2,15,17,15,7,5,12,1,2,1,9,8,7,1,2,4,4,7,12,4,2,1,5
4,Players,1629631,De'Andre Hunter,De'Andre,25,12,13,0.48,29.7,5.0,10.8,0.459,1.9,4.8,0.403,2.7,3.0,0.907,0.6,3.4,4.0,1.4,1.6,0.8,0.4,0.4,2.9,3.0,14.6,-1.7,23.3,1,0,24.1,9,9,10,5,5,5,5,6,4,5,3,2,4,2,6,6,6,8,4,6,5,8,1,2,5,8,7,7,1,7
5,Players,1627749,Dejounte Murray,Dejounte,47,20,27,0.426,34.9,8.3,17.6,0.47,2.3,6.2,0.376,2.7,3.2,0.834,0.7,4.4,5.1,5.2,2.2,1.3,0.3,0.9,1.7,2.3,21.5,-2.1,37.8,6,0,37.2,2,2,1,13,2,2,2,5,3,3,6,3,2,5,5,3,5,2,2,4,6,3,7,3,2,11,2,5,1,2
6,Players,1629726,Garrison Mathews,Garrison,33,14,19,0.424,12.6,1.2,2.6,0.453,1.1,2.4,0.45,0.1,0.3,0.444,0.2,1.0,1.2,0.5,0.5,0.2,0.1,0.1,1.7,0.7,3.6,-1.8,6.3,0,0,7.0,8,8,7,15,9,9,10,7,7,7,2,14,14,15,13,12,12,12,12,13,11,15,8,10,9,9,13,8,1,9
7,Players,1630552,Jalen Johnson,Jalen,34,17,17,0.5,33.1,6.2,11.5,0.538,1.2,3.3,0.369,2.0,2.7,0.75,1.2,7.1,8.2,3.2,1.9,1.4,0.8,0.7,2.6,2.3,15.6,-2.4,34.8,10,0,32.5,7,7,8,4,3,3,4,3,6,6,8,5,6,9,4,1,2,3,3,2,3,5,3,5,4,13,3,3,1,3
8,Players,1641723,Kobe Bufkin,Kobe,3,3,0,1.0,2.1,0.3,1.3,0.25,0.3,0.7,0.5,0.3,0.7,0.5,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,1.3,-4.3,3.0,0,0,3.0,16,15,16,1,17,16,16,15,12,13,1,12,11,14,10,14,14,13,16,16,15,9,17,13,16,16,15,8,1,15
9,Players,1631243,Mouhamed Gueye,Mouhamed,2,2,0,1.0,2.2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,-6.5,1.5,0,0,1.0,17,16,16,1,16,17,17,17,15,14,15,16,16,16,17,17,17,16,16,8,15,16,15,17,17,17,17,8,1,17
10,Players,1630168,Onyeka Okongwu,Onyeka,47,20,27,0.426,24.7,3.7,6.1,0.601,0.3,1.1,0.308,1.7,2.0,0.813,2.5,4.1,6.6,1.4,0.9,0.5,1.0,0.5,2.9,1.7,9.4,-0.1,23.0,5,0,20.7,2,2,1,13,8,8,8,1,11,12,9,8,8,7,3,4,3,7,7,10,2,7,2,7,8,4,8,6,1,8
11,Players,201988,Patty Mills,Patty,17,8,9,0.471,10.9,1.1,2.9,0.388,0.8,1.9,0.394,0.0,0.0,0.0,0.3,0.8,1.1,0.8,0.5,0.5,0.1,0.0,1.0,0.3,3.0,-2.8,6.5,0,0,6.6,13,11,13,7,11,10,9,11,8,8,4,16,16,16,11,13,13,10,11,9,12,16,11,15,10,14,11,8,1,10
12,Players,1630180,Saddiq Bey,Saddiq,48,21,27,0.438,32.3,4.4,10.6,0.413,1.7,5.6,0.303,2.5,3.0,0.814,2.6,3.9,6.5,1.5,0.9,0.9,0.1,0.7,1.6,2.2,12.9,0.0,25.2,7,0,24.7,1,1,1,10,4,7,6,10,5,4,10,4,3,6,2,5,4,6,6,5,10,4,9,6,6,3,6,4,1,6
13,Players,1641754,Seth Lundy,Seth,9,2,7,0.222,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.3,0.4,0.75,0.1,0.7,0.8,0.0,0.1,0.0,0.0,0.2,0.7,0.3,1.6,-1.4,2.4,0,0,2.7,15,16,14,17,15,15,15,16,12,11,13,12,13,9,15,14,15,16,15,16,15,11,14,13,15,5,16,8,1,16
14,Players,1629027,Trae Young,Trae,43,19,24,0.442,36.5,8.4,19.7,0.429,3.3,8.9,0.376,6.9,8.0,0.861,0.5,2.4,2.9,11.0,4.3,1.5,0.2,1.1,2.0,6.7,27.1,-1.7,47.8,30,0,47.7,6,6,6,9,1,1,1,9,1,1,5,1,1,4,9,8,8,1,1,1,8,1,6,1,1,7,1,1,1,1
15,Players,1630235,Trent Forrest,Trent,19,9,10,0.474,10.6,0.8,2.5,0.319,0.1,0.4,0.286,0.4,0.5,0.8,0.3,1.1,1.4,2.0,0.5,0.4,0.1,0.2,0.9,0.5,2.1,-3.5,7.5,0,0,6.4,11,10,11,6,12,12,12,12,14,15,11,11,12,8,12,11,10,5,10,12,14,12,13,12,13,15,9,8,1,11
16,Players,202083,Wesley Matthews,Wesley,20,5,15,0.25,11.3,0.6,2.3,0.267,0.4,1.8,0.229,0.7,1.0,0.737,0.2,1.2,1.4,0.6,0.3,0.5,0.2,0.1,1.4,0.7,2.3,-1.9,6.5,0,0,6.0,10,14,9,16,10,14,13,14,10,10,14,10,10,11,14,10,11,11,14,11,9,14,10,11,12,10,12,8,1,13
